Egyéni Bajnokság,,,,,,,,,,,,,,,,,,,Kódok,
Poz.,Pilóták,,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Pont,,,,,
1.,RF,,4,1,1,4,1,1,1,1,1,1,2,3,290,1,,,Szín,Jelentés
2.,Scolwerz,,3,3,2,2,4,3,3,3,2,4,1,8,229,1,,,Arany,Győztes
3.,NPC-Polikárp,,2,2,8,5,5,2,4,2,5,6,3,1,209,1,,,Ezüst,2. helyezett
4.,Legenda,,7,4,5,1,7,4,10,5,10,7,4,7,139,1,,,Bronz,3. helyezett
5.,M4köszi,,DNF,7,DNF,3,3,5,11,4,3,2,5,12,134,2,,,Zöld,További pontszerzők
6.,ps,,12,8,7,6,12,7,2,9,7,5,7,5,105,2,,,Kék,Nem szerzett pontot
7.,Temr351,,5,DNF,6,DNA,8,6,DNF,7,4,3,9,4,102,3,,,Fekete,Kizárt (DSQ)
8.,Acha,,6,6,3,7,2,DNA,12,DSQ,6,DNF,DNA,6,92,2,,,Szürke,Nem érkezett meg (DNA)
9.,Domanon,,10,DNA,4,DNF,6,DNA,5,DNF,DNA,DNA,6,2,75,2,,,,Nem ért célba (DNF)
10.,Banos Attila,,8,10,9,8,11,9,6,10,9,11,8,10,53,6,,,,Kitiltott (EX)
11.,vargabalazs29balu,,1,5,DNA,11,DNA,,,,,,,,40,1,,,Megjegyzés,Jeletés
12.,Laci123,,9,9,DNF,9,10,8,DNA,DNA,8,9,10,11,36,8,,,ᵖ,Pole pozíció
13.,Fooji,,,,,,,10,DNF,6,12,8,12,DNA,23,6,,,ᶠ,Leggyorsabb kör
14.,Dominik,,DNF,DNA,DNF,,,,8,8,DNA,10,11,9,21,8,,,,
15.,Szabikaaking,,11,11,11,10,DNF,11,9,DNF,DNA,DNF,13,13,17,9,,,,
16.,bmw,,,,,,,,7,DNF,11,DNF,DNF,DSQ,11,7,,,,
17.,Babkonzerv,,DNF,DNA,10,DNA,9,DNA,,,,,,,7,9,,,,
18.,Flomaster,,DNF,12,12,DNA,DNA,12,EX,,,,,,6,12,,,,
19.,Danso2003,,DNA,DNA,DNA,,,,,,,,,,0,999,,,,
20.,SpicyChicken,,DNA,DNA,DNA,,,,,,,,,,0,999,,,,
21.,,,,,,,,,,,,,,,0,999,,,,
22.,,,,,,,,,,,,,,,0,999,,,,
23.,,,,,,,,,,,,,,,0,999,,,,
24.,,,,,,,,,,,,,,,0,999,,,,
25.,,,,,,,,,,,,,,,0,999,,,,
26.,,,,,,,,,,,,,,,0,999,,,,
27.,,,,,,,,,,,,,,,0,999,,,,
28.,,,,,,,,,,,,,,,0,999,,,,
29.,,,,,,,,,,,,,,,0,999,,,,
30.,,,,,,,,,,,,,,,0,999,,,,
31.,,,,,,,,,,,,,,,0,999,,,,
32.,,,,,,,,,,,,,,,0,999,,,,
33.,,,,,,,,,,,,,,,0,999,,,,
34.,,,,,,,,,,,,,,,0,999,,,,
35.,,,,,,,,,,,,,,,0,999,,,,
36.,,,,,,,,,,,,,,,0,999,,,,
37.,,,,,,,,,,,,,,,0,999,,,,
38.,,,,,,,,,,,,,,,0,999,,,,
39.,,,,,,,,,,,,,,,0,999,,,,
40.,,,,,,,,,,,,,,,0,999,,,,
41.,,,,,,,,,,,,,,,0,999,,,,
42.,,,,,,,,,,,,,,,0,999,,,,
43.,,,,,,,,,,,,,,,0,999,,,,
44.,,,,,,,,,,,,,,,0,999,,,,
45.,,,,,,,,,,,,,,,0,999,,,,
46.,,,,,,,,,,,,,,,0,999,,,,
47.,,,,,,,,,,,,,,,0,999,,,,
48.,,,,,,,,,,,,,,,0,999,,,,
49.,,,,,,,,,,,,,,,0,999,,,,
50.,,,,,,,,,,,,,,,0,999,,,,
Poz.,Pilóták,,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Pont,,,,,
,,,,,,,,,,,,,,,,,,,,
Pontrendszer,,,,,,,,,,,,,,,,,,,,
Poz.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14+,,,,,
Pont,27,23,19,16,13,10,8,6,4,3,2,2,1,1,0,,,,,
,,,,,,,,,,,,,,,,,,,,
Konstruktőri Bajnokság,,,,,,,,,,,,,,,,,,,Kódok,
Poz.,Csapatok,Pilóták,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Pont,,,,,
1,McLaren,Scolwerz,3,3,2,2,4,3,3,3,2,4,1,8,363,,,,Szín,Jelentés
,,M4köszi,DNF,7,DNF,3,3,5,11,4,3,2,5,12,,,,,Arany,Győztes
2,Alpha Tauri,RF,4,1,1,4,1,1,1,1,1,1,2,3,293,,,,Ezüst,2. helyezett
,,Babkonzerv,DNF,DNA,10,DNA,9,DNA,,,,,,,,,,,Bronz,3. helyezett
,,Fooji,,,,,,10,,,,,,,,,,,Zöld,További pontszerzők
3,Haas,Domanon,10,DNA,4,DNF,6,DNA,5,DNF,DNA,DNA,6,2,284,,,,Kék,Nem szerzett pontot
,,NPC-Polikárp,2,2,8,5,5,2,4,2,5,6,3,1,,,,,Fekete,Kizárt (DSQ)
4,Red Bull,Legenda,7,4,5,1,7,4,10,5,10,7,4,7,166,,,,Szürke,Nem érkezett meg (DNA)
,,Fooji,,,,,,,DNF,6,12,8,12,DNA,,,,,,Nem ért célba (DNF)
,,Babkonzerv,DNF,DNA,10,DNA,9,DNA,,,,,,,,,,,,Kitiltott (EX)
5,Ferrari,Banos Attila,8,10,9,8,11,9,6,10,9,11,8,10,155,,,,Megjegyzés,Jeletés
,,Temr351,5,DNF,6,DNA,8,6,DNF,7,4,3,9,4,,,,,ᵖ,Pole pozíció
6,Alfa Romeo,bmw,,,,,,,7,DNF,11,DNF,DNF,DSQ,116,,,,ᶠ,Leggyorsabb kör
,,ps,12,8,7,6,12,7,2,9,7,5,7,5,,,,,,
7,Alpine,Acha,6,6,3,7,2,DNA,12,DSQ,6,DNF,DNA,6,92,,,,,
,,danikaasder,,,,,,,,,,,,,,,,,,
8,Aston Martin,vargabalazs29balu,1,5,DNA,11,DNA,,,,,,,,76,,,,,
,,Laci123,9,9,DNF,9,10,8,DNA,DNA,8,9,10,11,,,,,,
9,Williams,Dominik,DNF,DNA,DNF,,,,8,8,DNA,10,11,9,38,,,,,
,,Szabikaaking,11,11,11,10,DNF,11,9,DNF,DNA,DNF,13,13,,,,,,
10,Mercedes,SpicyChicken,DNA,DNA,DNA,,,,,,,,,,6,,,,,
,,Flomaster,DNF,12,12,DNA,DNA,12,EX,,,,,,,,,,,
Poz.,Csapatok,Pilóták,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Pont,,,,,